Tinh,Sbd,HoTen,DToan,DVan,DNgoaiNgu,DLy,DHoa,DSinh,DSu,DDia,DGdcd
Hà Nội,00000162,Cù Nhã Quyên,6.0,4.8,3.2,,,,,,
Sóc Trăng,00000163,Trương Văn Dũng,5.6,10.0,2.0,,,,,,
Sơn La,00000164,Lý Kim Tiền,2.0,5.8,8.0,,,,,,
Sóc Trăng,00000165,Chu Tiến Minh,3.8,8.2,2.0,,,,,,
Lào Cai,00000166,Hứa Cẩm Linh,4.4,4.2,8.0,,,,,,
Yên Bái,00000167,Lại Khánh Đăng,4.0,3.2,4.6,,,,,,
Hòa Bình,00000168,Dư Thanh Hương,6.4,5.0,2.8,,,,,,
Bình Thuận,00000169,Khổng Thùy Ngân,3.4,5.4,4.2,,,,,,
Hải Dương,00000170,Danh Mỹ Hạnh,8.6,3.2,8.6,,,,,,
Đắk Nông,00000171,Ngô Văn Cường,4.6,6.2,6.6,,,,,,
Lạng Sơn,00000172,Diệp Bảo Ngọc,3.4,2.6,2.2,,,,,,
Quảng Ngãi,00000173,Trần Tấn Phát,6.6,7.6,8.6,,,,,,
Bạc Liêu,00000174,Tất Bảo Anh,9.6,2.2,3.8,,,,,,
Quảng Trị,00000175,Ôn Thế Phong,5.8,8.0,9.4,,,,,,
Hải Dương,00000176,Chung Trung Nhân,8.6,6.8,4.4,,,,,,
Tuyên Quang,00000177,Đặng Như Tuyết,8.0,3.4,6.2,,,,,,
Hải Dương,00000178,Lã Ngọc Vũ,3.6,8.0,4.8,6.8,,,,,
Bình Dương,00000179,Quách Thành Công,5.0,3.0,9.6,,,,,,
Sóc Trăng,00000180,Quách Minh Hoàng,3.6,7.6,8.6,,,,,,
Quảng Trị,00000181,Phương Trúc Quỳnh,7.4,9.2,9.6,,,,,,
Cao Bằng,00000182,Lý Tường Lam,7.4,6.2,4.4,,,,,,
Khánh Hòa,00000183,Tôn Thất Trí Khang,6.0,5.2,6.4,,,,,,
Quảng Trị,00000184,Vương An Khánh,6.6,9.8,6.2,,,,,,
Điện Biên,00000185,Từ Hồng Hoa,4.8,5.6,2.0,,,,,,
Tiền Giang,00000186,Trình Đan Thanh,9.2,2.0,9.8,,,,,,
Yên Bái,00000187,Ông Kim Dung,6.8,8.6,6.2,,,,,,
Bà Rịa – Vũng Tàu,00000188,Võ Nhã Quyên,5.0,6.8,9.2,,,,,,
Bà Rịa – Vũng Tàu,00000189,Mai Tuấn Khang,4.8,2.8,5.4,,,,,,
Hà Nam,00000190,Khổng Hồng My,8.4,2.8,7.6,8.0,,,,,
Bình Định,00000191,Sơn Mỹ Quỳnh,6.2,2.0,3.4,,,,,,
Đắk Nông,00000192,Trình Đức Tài,4.0,7.2,2.0,,,,,,
Bắc Giang,00000193,Triệu Hương Giang,10.0,5.8,2.8,,,,9.2,,
Hòa Bình,00000194,Giang Khánh Ngân,6.6,8.8,5.4,,,,,,
Yên Bái,00000195,Lý Yến Phương,9.2,3.2,3.4,,,,,,
Hải Dương,00000196,Trương Tấn Thành,2.6,6.8,9.0,,,,,,
Tây Ninh,00000197,Vương Hoàng Phúc,10.0,9.0,3.8,,,,,,
Tiền Giang,00000198,Trần Thành Vinh,4.2,3.4,7.4,,,,,,
Bình Thuận,00000199,Tô Khánh Nguyên,8.6,9.0,4.8,,,,,,
Bà Rịa – Vũng Tàu,00000200,Khưu Kim Ánh,4.0,2.8,9.0,,,,,,
Hà Nam,00000201,Đinh Kim Nga,4.2,4.2,7.8,,,,,,
Bến Tre,00000202,Giang Thùy Duyên,9.6,2.8,5.0,,,1.2,,,
Tây Ninh,00000203,Lai Ngọc Phú,2.6,2.8,7.2,,,,,,
Hà Nam,00000204,Hoàng Quỳnh Thy,4.2,9.8,9.2,,,,,,
Cần Thơ,00000205,Thái Hải Hà,9.0,5.4,5.8,,,,,,
Bắc Ninh,00000206,Ông Chí Tài,5.4,2.2,7.6,,,,,,
Bắc Giang,00000207,Đinh Ngọc Ý,6.6,7.6,6.0,,,,,,
Hải Dương,00000208,Kiều Hải Dương,9.4,4.6,8.8,,,,,,
Sóc Trăng,00000209,Đỗ Chí Công,7.4,4.0,2.2,,,,,,
Bình Thuận,00000210,Tào Trung Hậu,10.0,9.2,3.8,,,,,,
Quảng Ninh,00000211,Tô Hoàng Lân,9.6,6.8,8.4,,,,,,
Hải Dương,00000212,Ôn Tiểu My,6.4,10.0,7.6,,,,,1.6,2.8
Bình Thuận,00000213,Hồ Hoàng Khôi,2.2,9.6,8.2,,,,,,
Đắk Lắk,00000214,Ninh Ngọc Tuyền,2.8,7.6,5.8,,,,,,
Bắc Giang,00000215,Đường Phúc Minh,9.0,9.0,5.6,,,,,,7.8
Bắc Kạn,00000216,Trình Văn Khoa,7.2,4.0,2.2,,,,,,
Bình Thuận,00000217,Hàng Bích Vân,9.4,3.4,8.0,,,,4.0,,
Phú Thọ,00000218,Nhan Bảo Nhi,9.0,8.0,7.2,,,,,,
Yên Bái,00000219,Chế Bảo Long,4.2,10.0,6.2,0.2,,,,,
Hưng Yên,00000220,Tôn Thất Thái Hà,7.8,3.0,6.2,,,,,,
Cao Bằng,00000221,Lã Hoàng Châu,10.0,9.4,6.8,,,,,,
Ninh Bình,00000222,Trương Huy Phát,8.4,2.6,8.2,,,5.4,,,
Cần Thơ,00000223,Bùi Hoàng Phúc,2.6,2.2,3.8,,,,,,
Bình Phước,00000224,Ngụy Kim Xuyến,4.0,8.4,3.8,,,,,,
Đồng Nai,00000225,Tôn Nữ Bảo Thi,9.6,8.4,7.2,,,,,,
Bình Thuận,00000226,Diệp Thục Nghi,9.2,5.0,6.0,,,,,,
Hậu Giang,00000227,Thạch Gia Như,8.0,9.4,8.2,,,,,,
Hậu Giang,00000228,Vũ Băng Tâm,4.4,10.0,8.8,,,,,,
Hậu Giang,00000229,Lương Trường Vy,3.8,4.2,7.6,,,,,,
Bà Rịa – Vũng Tàu,00000230,Tất Tấn Đức,5.2,9.6,4.0,,,,,,
Bạc Liêu,00000231,Tôn Nữ Thảo Vân,7.6,7.0,8.6,,,,,,
Đà Nẵng,00000232,Phạm Gia Nhi,2.8,3.2,5.8,,,,,,
Thái Nguyên,00000233,Chung Hải Hà,7.2,4.6,3.8,,,,,,
Cà Mau,00000234,Thi Tố Như,3.0,6.2,10.0,,,,,,
Hà Nam,00000235,Khưu Thu Hà,4.0,2.6,7.0,,,,,,
Phú Yên,00000236,Đàm Uyên Vy,6.0,8.4,4.0,,,,,,
Cần Thơ,00000237,Phù Tuệ Mẫn,9.6,2.4,4.4,,,,,,
Hà Tĩnh,00000238,Trần Đình Phúc,2.4,5.0,5.2,,,,,,
Bà Rịa – Vũng Tàu,00000239,Ngụy Nhã Trân,3.0,4.2,2.4,,,,,,
Bình Định,00000240,Bành Thùy Duyên,8.8,2.6,4.2,,,,,,
Thừa Thiên Huế,00000241,Đậu Nguyên Vũ,6.4,4.8,9.6,,,,,,
Đà Nẵng,00000242,Lữ Vĩnh Phú,6.0,2.8,2.2,,,,,,
Kiên Giang,00000243,Phù Bảo Khoa,8.6,8.6,5.0,,,,,,
Cần Thơ,00000244,Âu Duy An,7.2,6.2,6.6,,,,,,
Trà Vinh,00000245,Vũ Thùy An,4.4,9.4,3.0,,,,,,
Trà Vinh,00000246,Phù Huyền Trâm,5.8,4.0,5.8,,,,,,
Hải Phòng,00000247,Đoàn Phương Uyên,9.8,6.0,2.0,,,,,,
Ninh Bình,00000248,Mã Ngọc Trang,9.8,9.8,3.0,,,,,,
Thái Bình,00000249,Viên Tuấn Ngọc,3.8,4.4,9.6,,,,,,
Kiên Giang,00000250,Tiêu Kim Xuân,4.0,7.8,9.2,,,,,,
Bắc Kạn,00000251,Thạch Thanh Ngọc,10.0,8.2,10.0,,,,,,
Bến Tre,00000252,Lục Quang Thịnh,2.4,6.8,7.4,,,,,,
Quảng Trị,00000253,Lục Phương Trinh,6.2,6.2,7.6,,,,,,
Bình Định,00000254,Doãn Phi Nhung,9.0,2.0,7.2,,,,,,
Thái Bình,00000255,Ngô Tú Quỳnh,9.8,9.4,6.4,,,,,,
Điện Biên,00000256,Thái Ánh Linh,9.6,5.2,3.0,,,,,,
Khánh Hòa,00000257,Sơn Mai Hân,2.0,2.2,6.0,,,,,,
Sơn La,00000258,Trịnh Anh Khoa,4.4,2.0,6.4,,,,,,
Tây Ninh,00000259,Hà Hữu Phát,5.0,10.0,9.6,,,,,,
Tiền Giang,00000260,Âu Kiều Anh,4.4,3.4,9.0,,,,,,
Thừa Thiên Huế,00000261,Vũ Đức Hải,7.0,6.6,4.0,,,,,,
Hải Phòng,00000262,Ông Anh Hiếu,9.0,3.4,3.0,,,,,,
Đắk Nông,00000263,Khưu Thiên Anh,2.0,3.4,8.6,,,,,,
Quảng Nam,00000264,Bạch Quang Khải,4.2,6.0,5.8,,,2.2,,,
Thừa Thiên Huế,00000265,Hàng Gia Lâm,5.2,7.8,4.0,,,,,,
Tuyên Quang,00000266,Tạ Minh Tấn,5.0,4.8,6.2,,,,,,
Hà Giang,00000267,Kiều Quốc Khánh,7.4,2.4,3.6,,,,,,
Hà Nội,00000268,Quách Tú Trinh,2.0,9.4,4.8,,,,,,
Lạng Sơn,00000269,Vũ An Phú,2.6,5.4,2.8,,,,,,
Đồng Tháp,00000270,Lưu Yến Phương,3.2,5.4,3.2,,,,,,
Quảng Trị,00000271,Trầm Quỳnh Trâm,8.2,6.4,6.4,,,,,,
Đắk Lắk,00000272,Đồng Hồng Diễm,10.0,8.4,6.6,,,,,,
Bến Tre,00000273,Dư Đình Phúc,4.2,2.4,5.0,,,,,,
Đắk Nông,00000274,Nhan Đan Thy,6.4,8.2,4.0,,,,,,
Hưng Yên,00000275,Trang Trí Thành,2.4,2.6,9.6,,,,,7.4,
Đắk Lắk,00000276,Tống Tấn Thịnh,7.0,6.4,5.2,,,,,,
Đà Nẵng,00000277,Nhan Thế Huy,7.4,6.4,4.4,,,,,,
Đắk Nông,00000278,Tăng Khang Huy,4.8,7.4,9.6,,,,,,
Phú Thọ,00000279,Ngô An Khang,9.6,9.2,10.0,,,,,,
Bến Tre,00000280,La Tú Nhi,4.4,5.4,2.0,,,,,,
Cà Mau,00000281,Tôn Thất Gia Thiện,6.8,7.2,9.8,,,1.0,,,
Lâm Đồng,00000282,Tôn Thất Tiến Hưng,6.0,7.0,3.0,,,,,,
Bình Định,00000283,Lâm Minh Thức,2.8,7.2,8.4,,,,,,
Phú Yên,00000284,Hồng Phúc Lộc,8.2,3.0,6.2,,,,,,
Bình Phước,00000285,Triệu Thiên Quốc,4.8,3.2,9.0,,,,,,
Thái Nguyên,00000286,Chế Phước Tài,5.6,5.2,2.6,,,,,,
Hà Tĩnh,00000287,Lương Đình Nguyên,7.4,8.0,5.6,,,,,,
Hà Giang,00000288,Phương Đức Thiện,6.2,4.2,9.8,,,,,,
Bạc Liêu,00000289,Thiều Hoàng Linh,2.0,2.8,2.2,,,,,,
Thành phố Hồ Chí Minh,00000290,Lục Kỳ Anh,9.4,5.8,10.0,,,,,,
Bà Rịa – Vũng Tàu,00000291,Lư Hoàng Đức,2.2,4.6,9.6,,,,,,
An Giang,00000292,Châu Ánh Dương,6.4,5.0,10.0,,,,,,
Hưng Yên,00000293,Hàng Trung Nghĩa,3.6,4.6,2.4,,,,,,
Bến Tre,00000294,Khưu Đan Anh,6.0,4.4,10.0,,,,,,
Vĩnh Long,00000295,Lại Khánh Nghi,4.4,9.0,4.0,,,,,,
Bình Phước,00000296,Mạch Phúc Lộc,2.4,5.8,4.8,,,,,,
Kiên Giang,00000297,Nhâm Xuân Anh,3.2,4.0,4.8,,,,,,
Sơn La,00000298,Phùng Minh Triết,4.4,6.6,8.6,,,,,,
Yên Bái,00000299,Dư Xuân Nhi,4.0,9.8,7.0,,,,,,
Thanh Hóa,00000300,Dư Tùng Dương,3.2,5.0,3.8,,,,,,1.2
Bình Dương,00000301,Lư Hoàng An,9.2,3.4,7.4,,,,,,
Bà Rịa – Vũng Tàu,00000302,Bạch Ngân Khánh,5.6,3.8,3.2,,,,4.0,,
Kon Tum,00000303,Châu Thế Bảo,2.2,4.0,8.0,,,,,,
Lào Cai,00000304,Từ Kiến Quốc,2.4,9.2,7.2,10.0,,,,,
Đồng Nai,00000305,Phan Hào Nam,4.8,8.6,9.2,,,,,,
Khánh Hòa,00000306,Mã Hưng Phát,3.8,5.8,6.2,,,,,,
Phú Thọ,00000307,Trần Tấn Phước,2.4,2.0,4.2,,,,,,
Lạng Sơn,00000308,Trương Mỹ Yến,5.4,5.6,9.4,,,,,,
Lạng Sơn,00000309,Phan Đức Phú,7.2,8.6,2.0,,,,,,
Nghệ An,00000310,Bạch Minh Kha,8.8,2.6,8.2,,,,,,
Quảng Bình,00000311,Trần Hồng Hoa,9.8,7.8,5.2,,,,,,
Quảng Nam,00000312,Triệu Trường An,4.0,8.0,6.0,,,,,,
Hải Phòng,00000313,La Mạnh Quân,2.2,5.2,4.8,,,,,,
Thừa Thiên Huế,00000314,Hứa Tuấn Đạt,4.4,10.0,5.4,,,,,,
Hưng Yên,00000315,Dư Khang Huy,8.2,2.2,3.2,,,,,,
Bắc Kạn,00000316,Mai Chí Trung,8.2,9.6,9.0,,,,,,
Sơn La,00000317,Đồng Bảo Ân,7.0,6.8,2.2,,,,,,
Long An,00000318,Quách Quốc Lâm,8.4,7.4,8.0,,,,,,
Cà Mau,00000319,Âu Thanh Nghi,3.4,7.2,8.8,,,,,,
Ninh Thuận,00000320,Lý Ngọc Tú,5.8,9.2,5.2,,,,,,
Bắc Ninh,00000321,Hoàng Gia An,2.0,8.8,5.0,,,,,,
Hà Nam,00000322,Danh Minh Hào,7.0,6.6,5.2,,,,,,
Bắc Ninh,00000323,Lữ Thu An,8.6,4.6,8.0,,,,,,
Trà Vinh,00000324,Phù Mỹ Hoa,4.0,3.8,9.6,,,,,,
Hải Dương,00000325,Ngụy Uyển Nhi,7.4,5.6,8.6,,,,,,
Bà Rịa – Vũng Tàu,00000326,Hà Thiên Phước,5.4,6.8,6.6,,,,,,
