Tinh,Sbd,HoTen,DToan,DVan,DNgoaiNgu,DLy,DHoa,DSinh,DSu,DDia,DGdcd
Hà Giang,00000032,Ôn Hoàng Dũng,7.0,8.0,5.2,,,,,,
Hà Giang,00000033,Kim Thuận Thiên,3.4,2.6,7.6,,8.8,,,,
Thành phố Hồ Chí Minh,00000034,Thạch Ngọc Kim,7.0,6.2,3.2,,,,,,
Nam Định,00000035,Ôn Tiểu My,6.0,3.8,2.4,,,,,,
Yên Bái,00000036,Vũ Thu Phương,2.8,2.6,3.2,,,,9.2,3.6,
Bắc Giang,00000037,Đặng Chí Minh,4.2,7.0,3.2,,,,,,
Lâm Đồng,00000038,Phù Ngọc Ánh,6.2,5.4,2.0,2.0,,,0.8,,
Đắk Lắk,00000039,Từ Kim Thúy,3.4,7.0,2.8,,,8.4,,,
Tuyên Quang,00000040,Tôn Nữ Bảo Yến,8.8,7.8,6.0,,,,,,
Phú Yên,00000041,Thạch Lan Thanh,10.0,7.4,2.8,9.6,,,,,6.0
Vĩnh Phúc,00000042,Mai Thành Lợi,3.2,3.4,10.0,,,,,,
Đồng Nai,00000043,Vũ Trúc Ngân,3.6,9.6,4.8,,,,,,
Ninh Thuận,00000044,Trà Mỹ Khanh,5.4,10.0,5.8,,,,,,
Hà Tĩnh,00000045,Kim Trúc Lâm,2.8,2.6,9.4,,,,,7.2,
Nam Định,00000046,Hứa Bình An,4.2,8.6,9.8,,,,,,1.8
Tuyên Quang,00000047,Đồng Minh Thy,5.6,10.0,9.6,,,,,,
Đồng Tháp,00000048,Tống Chấn Phong,2.8,3.0,9.2,,,,,,
Bắc Giang,00000049,Trịnh Gia Lạc,8.2,7.4,10.0,,5.0,,,,
Thành phố Hồ Chí Minh,00000050,Bành Kim Hồng,5.6,4.4,9.6,,,,,,
Bắc Giang,00000051,Lâm Hoàng Yến,5.2,8.8,9.6,,,,,7.0,
Hải Dương,00000052,Đậu Phương Nguyên,2.2,10.0,3.4,,,,,,
Phú Yên,00000053,Đặng Yến Thanh,6.6,3.2,7.8,,,,,,
Đắk Nông,00000054,Đậu Văn Thắng,4.0,8.6,10.0,,,,,,1.0
Tây Ninh,00000055,Lâm Thùy Trâm,6.8,3.8,2.8,5.0,,,,,
Thái Bình,00000056,Quách Hồng Sơn,3.4,8.0,5.2,,,,,,
Bình Dương,00000057,Thân Ánh Vy,3.0,5.0,7.4,,,,,,
Hòa Bình,00000058,Phương Khánh Ngân,5.4,4.2,4.4,,,,,8.6,
Quảng Ninh,00000059,Âu Huỳnh Nhi,6.2,5.8,2.8,,,,,,
Đồng Nai,00000060,Tống Bảo Uyên,4.4,7.2,3.2,,,,,,
Cần Thơ,00000061,Mã Minh Thông,4.6,4.6,8.6,,,,,,
Long An,00000062,Chung Thanh Hoàng,9.4,2.2,6.8,,,,,,
Thái Nguyên,00000063,Khổng Bảo Ân,4.4,2.8,6.0,,,,,,
Đồng Nai,00000064,Ôn Minh Thy,3.8,5.4,3.4,,,,,,
Bình Dương,00000065,Sơn Mai Hương,2.4,7.4,3.0,8.4,,,,,
Long An,00000066,Nguyễn Quốc Thiện,2.8,4.4,9.0,,,,,,
Lào Cai,00000067,Tăng Công Hiếu,4.2,8.0,5.0,,,,,,
Gia Lai,00000068,Lã Kim Hà,4.4,6.6,9.0,,2.0,,,,
Thái Bình,00000069,Vương Ly Na,7.6,7.4,3.6,1.0,,,,,
Bà Rịa – Vũng Tàu,00000070,Kiều Bảo Khoa,6.0,6.6,9.8,,,,,,
Bình Dương,00000071,Lục Thanh Hương,4.4,4.0,4.0,,,,,,
Yên Bái,00000072,Thi Kim Thảo,7.2,4.8,9.0,,,,,,
Nghệ An,00000073,Văn Tiến Đức,9.8,8.6,3.2,,,,,,
Hà Nam,00000074,Thái Tuấn Hào,3.8,6.8,9.8,,,,,,
Long An,00000075,Trang Thái Tú,2.6,3.8,2.6,,,,3.6,,
Hà Nội,00000076,Hà Minh Phát,4.2,3.4,2.0,,,,,,
Vĩnh Long,00000077,Biện Anh Khôi,8.2,7.6,7.6,,,,,,
Hà Tĩnh,00000078,Dương Ngọc Nhung,2.2,5.6,2.0,1.2,,,,,
Lai Châu,00000079,Trang Phương Tuyền,7.2,2.2,9.2,,,,,,
Bắc Kạn,00000080,Tôn Nữ Mỹ Hoa,5.8,8.4,4.0,,,,8.4,,
Hải Phòng,00000081,Lư Mỹ Kỳ,9.4,2.6,2.6,,,,,,
Bình Thuận,00000082,Ông Việt Hà,6.8,5.6,3.0,,,,,,
Nghệ An,00000083,Dương Gia Phát,6.2,3.6,5.6,,,,,,
Thừa Thiên Huế,00000084,Lư Mai Thy,2.8,6.6,3.4,,,2.8,,,
Nam Định,00000085,La Bảo Duy,8.2,3.0,4.4,,,,,,
Hậu Giang,00000086,Nhâm Uyên Thy,4.4,10.0,10.0,,,,,,
Thái Bình,00000087,Kim Hà Mi,7.6,5.0,4.0,,,,,,
Đắk Nông,00000088,Triệu Phương Anh,9.6,5.6,5.4,,,,,,
Cần Thơ,00000089,Quách Đức Tài,4.2,8.4,2.2,,,,,,
Lai Châu,00000090,Hồng Nhã Quyên,3.0,4.8,4.4,,,,,,
Lâm Đồng,00000091,Mai Hữu Thọ,8.8,10.0,3.8,,,,,,
Hải Dương,00000092,Bùi Gia An,9.4,2.8,6.4,,,,,,
Gia Lai,00000093,Lý Anh Tú,4.4,4.6,8.8,,,,,,5.4
Thanh Hóa,00000094,Nhâm Huy Vũ,5.0,4.0,6.6,,,,9.2,,
Tây Ninh,00000095,Vương Thành Khang,6.8,6.6,3.8,,,,,,
Bình Dương,00000096,Đậu Duy Quang,5.2,2.0,3.8,,,,,,
Hòa Bình,00000097,Đặng Tuấn Khoa,3.2,10.0,9.2,,,,,,
Hà Nam,00000098,Diệp Thanh Lộc,5.4,7.8,5.8,,,,,,
Ninh Thuận,00000099,Từ Quốc Trí,4.6,7.8,7.0,,,10.0,,,
Vĩnh Phúc,00000100,Phạm Minh Chiến,2.2,3.2,3.0,,,,,,
Kiên Giang,00000101,Hàng Hoàng Khang,7.2,4.8,4.8,,,,,5.6,
Tây Ninh,00000102,Hà Thanh Trâm,8.0,4.6,9.8,,,,,,
Thái Bình,00000103,Sơn Mộng Tuyền,8.8,5.6,5.6,,,,,,
Sóc Trăng,00000104,Ngụy Phương Khanh,4.2,9.2,4.4,,,,,,
Vĩnh Long,00000105,La Duy Khương,7.2,2.0,8.2,,,0.0,,,
Bình Dương,00000106,Danh Nhật Nguyên,7.6,8.2,9.6,,,,5.0,,
Quảng Nam,00000107,Hàng Bảo Hà,3.6,5.0,4.8,,,,,,
Hậu Giang,00000108,Lâm Hồng Hà,6.8,3.2,4.6,,,3.8,,6.0,
Bà Rịa – Vũng Tàu,00000109,Cao Minh Tân,7.8,7.4,10.0,8.2,,,,,6.8
Bến Tre,00000110,Hà Kim Yến,9.8,8.2,6.2,,,,,,
Sơn La,00000111,Bùi Minh Tú,9.8,8.2,3.4,,,,,,
Hải Dương,00000112,Quách Hoàng Lộc,2.8,3.2,4.8,,,,,,
Trà Vinh,00000113,Đồng Ngọc Thủy,8.4,9.8,4.6,,,,,,
Nam Định,00000114,Vũ Ngọc Quý,8.8,9.8,9.2,,,,,,
Vĩnh Phúc,00000115,Bùi Văn Cường,6.8,5.2,4.8,,,,,,9.2
Hưng Yên,00000116,Diệp Thanh Thiện,10.0,7.6,4.0,9.6,,,,,
Quảng Nam,00000117,Đậu Ngọc Sương,2.8,6.8,9.0,,,,,,
Bạc Liêu,00000118,Phù Hoàng Thy,6.0,3.8,3.4,2.2,,,,,
Kiên Giang,00000119,Biện Mỹ Nhung,2.0,5.2,6.8,,,,,,5.8
Trà Vinh,00000120,Viên Trọng Phát,3.2,9.6,3.6,7.2,,,,,
Tây Ninh,00000121,Ôn Mỹ Lan,3.4,6.6,6.6,,,,0.2,,
Bến Tre,00000122,Hàng Bảo Vy,4.4,5.2,7.4,,,,,,
An Giang,00000123,Văn Băng Tâm,9.6,8.2,4.6,,,,,,
Bắc Giang,00000124,Đường Hồng Loan,3.8,4.6,9.6,,,,,,
Lâm Đồng,00000125,Cù Hoàng Kim,2.8,7.4,3.4,,,,,,
Bình Phước,00000126,Tạ Nhật Khang,9.8,2.6,9.8,,,0.0,,,
Quảng Ninh,00000127,Bành Đức Long,8.0,6.2,2.8,,,,1.0,,
Nghệ An,00000128,Triệu Minh Thành,3.6,8.6,8.2,,,9.2,,,
Điện Biên,00000129,Tiêu Minh Hân,5.0,6.6,2.2,,,,,,
Ninh Bình,00000130,Lý Minh Thắng,5.4,6.4,8.2,,,,,,
Đồng Nai,00000131,Thi Kim Ngọc,7.6,4.4,9.6,,,,,,
Bình Định,00000132,Dương Thái Bảo,5.4,2.0,4.4,,9.8,,,,
Kon Tum,00000133,Thân Hữu Thiện,4.8,7.4,6.2,,3.6,,,,
Lạng Sơn,00000134,Cao Quang Dũng,7.4,7.8,3.6,,,,,,
An Giang,00000135,Liêu Thúy Vân,3.6,3.4,6.4,,,,,,
Cần Thơ,00000136,Tô Kim Anh,3.4,5.2,6.6,,,5.8,,,
Đồng Nai,00000137,Ông Hoàng Linh,6.6,5.0,5.4,,,,,,
Tiền Giang,00000138,La Khánh Chi,7.8,5.4,3.4,,,,,,
Đắk Nông,00000139,Tôn Thất Ngọc Hiếu,2.6,8.8,9.8,,,,,,
Lâm Đồng,00000140,Thái Thanh Quý,7.0,8.0,9.4,,,,,,
Quảng Bình,00000141,Thái Quang Minh,2.6,3.4,5.6,,,,,,
Quảng Nam,00000142,La Kim Bảo,3.8,6.0,6.0,,,,,,5.8
Vĩnh Long,00000143,Đặng Khánh Đan,4.8,5.6,4.6,,,,,,
Đồng Tháp,00000144,Trà Hồng Nhi,7.0,7.4,7.8,,,,,,
Lào Cai,00000145,Võ Quốc Thiên,6.8,5.8,3.2,,,,2.8,,
Đắk Nông,00000146,Lai Thanh Ngân,2.6,2.2,6.0,,,,1.4,,
Gia Lai,00000147,Thái Bảo Minh,3.6,6.4,9.0,,,5.8,1.6,,
Đà Nẵng,00000148,Lục Tiến Hưng,2.6,9.8,8.2,,,,,,
Đồng Nai,00000149,Lý Xuân Đức,2.6,7.2,6.6,,,,,,
Bình Phước,00000150,Bành Tường Lam,7.0,3.6,10.0,,,,,,
Nam Định,00000151,Sơn Minh Luân,3.8,2.6,8.8,,,,,,
Nghệ An,00000152,Lữ Quốc Tiến,7.2,3.0,5.6,,6.6,,,,
Thanh Hóa,00000153,Lã Thanh Tuyền,9.8,4.6,6.4,,,,,,
Bình Dương,00000154,Bạch Minh Thơ,9.6,2.4,9.2,,,,,,
Bạc Liêu,00000155,Chế Lan Anh,7.8,9.4,6.8,,,,,,
Yên Bái,00000156,La Thanh Trọng,2.4,4.4,7.0,,,,,,
Trà Vinh,00000157,Vương Nguyên Anh,2.2,7.0,6.4,,,,,,
Bình Thuận,00000158,Trương Minh Đăng,5.4,8.8,4.6,,,,,,
Tuyên Quang,00000159,Nguyễn Quỳnh Nga,8.8,2.8,6.4,,,,1.0,,
Bạc Liêu,00000160,Lai Hoàng Nam,7.0,7.8,8.4,,,1.8,,,
Hà Tĩnh,00000161,Biện Bích Hằng,2.2,7.4,8.0,,,,,,
Cần Thơ,00000162,Tăng Đức Huy,7.4,7.0,2.6,,,,,,
Sóc Trăng,00000163,Chế Bội Nghi,9.2,4.0,6.4,,,,,,
Kiên Giang,00000164,Phù Ngọc Minh,3.8,8.8,8.4,4.0,,,,,
Tiền Giang,00000165,Diệp Thanh Hoa,4.4,7.2,7.8,,9.8,,,,
Bình Dương,00000166,Lữ Quang Huy,4.8,10.0,3.4,,,7.2,,,
Bà Rịa – Vũng Tàu,00000167,Lâm Minh Tâm,5.2,4.2,5.4,2.2,,,,,
Đắk Nông,00000168,Trần Gia Lộc,2.4,5.6,3.6,9.6,,,,,
Hậu Giang,00000169,Châu Phương Đông,9.2,3.2,7.0,,,,2.2,,
Yên Bái,00000170,La Bảo Lộc,2.0,3.4,5.0,,,,5.2,,
Lào Cai,00000171,Cù Quỳnh Phương,8.6,5.4,4.0,,,,,,
Bạc Liêu,00000172,Danh Phương Linh,6.0,6.6,3.4,,,,,,
Gia Lai,00000173,Kim Thanh Lâm,5.8,9.0,7.6,,,,,,
Hải Dương,00000174,Vòng Kim Quyên,3.6,8.6,9.6,,0.4,,,,
Bắc Giang,00000175,Thiều Thanh Lan,9.8,2.4,5.0,,,,,2.0,
Lào Cai,00000176,Lâm Hoàng Bảo,4.0,5.2,7.2,,,,,,
Điện Biên,00000177,Biện Lê Khang,6.2,3.0,4.6,,,,,0.4,
Đắk Nông,00000178,Đào Tiến Thành,9.6,7.8,3.8,,,,4.0,,
Lạng Sơn,00000179,Trịnh Minh Kha,2.2,3.0,2.0,,,,,,
Thái Bình,00000180,Vòng Như Quỳnh,8.0,5.2,9.8,,,,2.6,4.6,
Hà Tĩnh,00000181,Nhâm Kim Bảo,6.4,9.8,3.6,,,,,,
Bắc Giang,00000182,Tống Kiến Văn,7.2,3.4,2.0,,,,,,
Bình Dương,00000183,Trần Tuyết Trân,2.2,4.2,6.6,,,,,,
Kiên Giang,00000184,Hồng Tấn Sang,7.4,6.8,3.6,,,,,,
Tiền Giang,00000185,Kim Hà Mi,6.6,6.4,2.4,,,,,,
Bà Rịa – Vũng Tàu,00000186,Đậu Anh Thi,4.2,2.4,4.8,,,,,,
Yên Bái,00000187,Đào Hồng Duyên,2.4,5.8,2.6,,,,,,
Hà Nội,00000188,Nghiêm Phương Ngân,6.2,2.2,8.8,,,,,,
Hà Nội,00000189,Đường Diễm Hương,8.6,5.6,4.6,,,,,,
Lào Cai,00000190,Khổng Minh Khang,6.6,3.6,9.2,,,,,,
Hậu Giang,00000191,Trang Minh Thương,10.0,2.8,4.8,,,,0.8,,
Phú Thọ,00000192,Cao Thảo Trang,4.8,8.6,5.6,,,,,,7.0
Hậu Giang,00000193,Bành Bích Thảo,6.4,6.6,7.8,,,,,,
Tây Ninh,00000194,Vương Kim Trang,9.0,7.8,4.8,,,,5.8,,
Quảng Ngãi,00000195,Liêu Thanh Như,5.6,2.6,8.0,,,,9.6,,6.2
Cao Bằng,00000196,Khưu Kiều Trâm,7.8,5.8,6.0,,,,0.2,,
Hà Nội,00000197,Mạc Thiên Trúc,2.2,7.6,3.6,,9.4,7.2,,,
Đồng Tháp,00000198,Quan Văn Đức,9.0,3.4,5.6,,,7.2,,,
Sơn La,00000199,Giang Gia Minh,7.8,9.2,3.2,,,,,,6.2
Hà Tĩnh,00000200,Đinh Gia Tiến,3.2,8.6,4.8,,,,,,
Quảng Ninh,00000201,Phạm Thanh Chúc,9.2,3.2,3.6,,,,,,
Hòa Bình,00000202,Huỳnh Đức Vinh,8.4,5.0,7.0,,,,,,
Phú Yên,00000203,Hoàng Gia Hòa,3.0,6.2,9.6,,,,,,
Lai Châu,00000204,Ngô Quốc Trí,3.8,3.2,9.2,,,,,,
Yên Bái,00000205,Viên Hoàng Anh,9.6,6.8,2.2,,,,,,
Nam Định,00000206,Chế Hải Lam,8.6,2.0,8.6,,,,,,
Khánh Hòa,00000207,Biện Minh Khang,7.2,6.8,5.4,,,,2.6,,
Kon Tum,00000208,Lý Thanh Tiến,8.6,4.8,6.2,,,,,,
Bắc Giang,00000209,Tiêu Tường Lam,8.6,9.0,2.4,,,,,,
Bình Định,00000210,Đồng Văn Hiếu,4.4,6.0,4.0,,,,,1.0,
Ninh Thuận,00000211,Từ Phương Duy,10.0,6.8,3.8,,,,,,6.8
Ninh Bình,00000212,Chung Phương Nhã,8.2,7.0,3.2,,,1.8,,10.0,
Kon Tum,00000213,Trà Diễm Trinh,2.6,3.4,9.0,,,,,,
Nam Định,00000214,Thân Hoàng Phúc,10.0,9.0,5.6,,,,,,
Vĩnh Long,00000215,Khưu Thanh Ngọc,5.0,3.0,2.6,,,,,,
Thanh Hóa,00000216,Nguyễn Thùy Linh,7.0,6.2,9.0,,,,,,
Vĩnh Long,00000217,Diệp Diễm Trinh,2.4,7.8,9.8,,,,,,
Cần Thơ,00000218,Vương Đức Phú,2.4,6.4,3.2,,,,,,7.8
Gia Lai,00000219,Liêu Trúc Diễm,8.8,5.6,7.4,2.0,,8.8,6.4,,
Thừa Thiên Huế,00000220,Từ Quỳnh Nghi,7.0,4.0,5.0,,5.8,,2.0,,
Yên Bái,00000221,Đoàn Tâm An,7.0,8.0,3.4,,,,,,
Long An,00000222,Biện Hoài Phong,2.0,3.6,8.6,,,,,,
Đà Nẵng,00000223,Hồ Thị Phương,6.4,9.8,3.6,,0.0,,,,
Đồng Tháp,00000224,Đỗ Khánh Băng,2.4,2.2,2.8,,,,,,
Đắk Nông,00000225,Hứa Bích Loan,2.6,6.2,7.2,,,,,,
Trà Vinh,00000226,Liêu Anh Đào,9.0,2.4,5.4,,,,,,
Quảng Bình,00000227,Ông Đức Phú,7.6,7.8,3.0,,,,,,
Thái Nguyên,00000228,Đàm Tấn Kiệt,6.6,5.0,7.2,,,,,,
An Giang,00000229,Tất Thiên Bảo,9.4,9.4,3.4,,,,,,
Vĩnh Phúc,00000230,Chu Đức Nam,7.8,4.0,9.4,,,,,,1.8
Ninh Bình,00000231,Ngô Gia Yến,3.4,3.8,2.8,,,,,,
Nam Định,00000232,Bạch Hoàng Oanh,3.2,9.8,3.2,4.2,,,,,
Hà Nam,00000233,Ngụy Minh Long,4.6,3.4,7.8,,,,,,2.2
Đồng Tháp,00000234,Sơn Trung Tín,6.2,9.8,9.4,,1.8,,,,
Hậu Giang,00000235,Trần Đình Phúc,3.8,3.0,7.2,,,,,1.0,
Cà Mau,00000236,Mạc Anh Huy,9.6,4.6,7.2,,,,,,
Thành phố Hồ Chí Minh,00000237,Dư Cẩm Ly,5.6,9.6,2.2,,,,,9.6,
Kiên Giang,00000238,Cù Yến Trang,9.8,4.0,5.2,3.0,,,,,
Đà Nẵng,00000239,Hồ Khánh Nguyên,9.2,7.0,7.8,,,,,,
Kon Tum,00000240,Dương Mỹ Nhi,7.2,3.2,3.6,,1.0,,,,
Phú Yên,00000241,Thân Kiến Hào,3.0,9.8,2.8,,,,9.0,,
Bà Rịa – Vũng Tàu,00000242,Mạch Hữu Đức,6.2,4.2,2.0,,,,,,2.6
Hải Dương,00000243,Tất Trung Hiếu,3.2,2.6,5.8,,,9.6,,,
Bến Tre,00000244,Ninh Quốc Hùng,4.2,8.4,9.4,,,,,,6.0
Kiên Giang,00000245,Hồng Minh Trúc,7.4,2.2,3.6,,,,,,
Đồng Tháp,00000246,Liêu Kim Thúy,9.4,3.4,6.0,,,,,,
Tây Ninh,00000247,Quách Gia Mẫn,5.6,2.8,5.0,,,,,,
Hà Nội,00000248,Trang Thanh Trọng,3.4,4.4,7.0,,,,,,
Tuyên Quang,00000249,Phan Thiên Nga,3.6,6.4,6.0,,,,8.6,,
Lai Châu,00000250,Tô Thế Bảo,5.8,3.4,8.2,,,,,,
Ninh Thuận,00000251,Nhâm Tuyết Trinh,2.8,6.6,7.6,,,,,,
Phú Thọ,00000252,Mã Hà Vi,5.8,7.4,7.2,,,,,,
Cao Bằng,00000253,Quan Quốc Lâm,5.6,3.4,8.2,,,,,,
Bắc Ninh,00000254,La Nhã Kỳ,3.2,2.8,3.4,3.0,,,,,
Quảng Trị,00000255,Lưu Kim Huệ,8.0,9.8,5.2,,,,5.2,,
Quảng Ninh,00000256,Mạch Thanh Nga,2.4,9.4,2.6,,,,,,
Hải Dương,00000257,Đinh Nhựt Hào,9.0,4.4,5.2,,,,,,
Đồng Tháp,00000258,Biện Thanh Nhàn,7.6,2.6,2.8,,,,,,
Hà Tĩnh,00000259,Dư Phương Vy,2.4,9.4,4.6,,,,,,
Quảng Nam,00000260,Quan Nguyên Phong,9.2,9.6,4.8,,,,,,
Bắc Giang,00000261,Mai Minh Nhi,2.2,8.2,9.4,,,,,,
Hải Phòng,00000262,Thiều Yến My,8.8,4.0,2.0,,9.8,,,,
Bình Định,00000263,Trần Hùng Anh,5.8,9.4,3.4,,,,,,3.6
Thành phố Hồ Chí Minh,00000264,Diệp Hồng Như,3.4,3.4,6.8,,,,,,
Long An,00000265,Chu Hoàng Uyên,7.4,9.0,8.4,,4.8,,,,
Quảng Trị,00000266,Tất Diễm Hương,4.6,4.4,5.2,,,,8.8,9.6,
Phú Yên,00000267,Cao Phước Sang,8.8,3.2,2.4,,,,,,
Sơn La,00000268,Cao Thùy Anh,6.8,4.8,5.4,,,,,,6.4
Bà Rịa – Vũng Tàu,00000269,Kiều Minh Thành,8.2,9.4,2.4,,,,,8.0,
Quảng Ninh,00000270,Hồ Nguyên Khoa,5.2,8.0,3.6,,2.0,1.2,,,1.4
Thanh Hóa,00000271,Nguyễn Tuyết Mai,6.2,5.8,8.8,,,,9.6,,
Quảng Ngãi,00000272,Chế Tuần Kiệt,7.0,5.8,9.8,,,,,,
Lâm Đồng,00000273,Trà Nhật Tiến,6.2,6.0,9.4,,,,,,
Bình Định,00000274,Diệp Linh Đan,3.2,6.8,6.6,,,,,,
Quảng Ninh,00000275,Lục Diễm Phương,9.4,2.4,5.0,,3.2,,,,
Cao Bằng,00000276,Đặng Kim Hoàn,7.8,2.8,2.6,,,,,,
Nghệ An,00000277,Đặng Thanh Nga,8.2,4.8,5.8,,,,,,
Thái Bình,00000278,Liêu Mai Trang,6.6,6.8,2.8,,10.0,,,,
Tây Ninh,00000279,Biện Trung Đức,9.6,6.6,2.0,,,,,,
Hà Nội,00000280,Tôn Phú Thịnh,9.4,4.6,6.6,,,,,,
Thái Bình,00000281,Lý Thảo Như,7.4,3.6,9.8,,3.6,,,,
Vĩnh Long,00000282,Tôn Duy Khoa,8.0,3.2,5.4,,,,,,
Bình Dương,00000283,Khưu Quốc Hào,6.0,4.8,6.4,,,2.2,,,
Hà Nội,00000284,Từ Đông Nghi,2.0,3.0,3.2,,,,,,
Đắk Nông,00000285,Bùi Quang Anh,4.2,5.2,3.8,,,,,,
Ninh Thuận,00000286,Phùng Minh Phương,7.2,5.8,3.0,,,,,,
Tây Ninh,00000287,Kiều Ly Na,6.0,2.4,7.2,,,,,9.4,
Hải Phòng,00000288,Trình Hưng Thịnh,3.4,8.8,5.6,,,,,4.4,
Hà Nội,00000289,Hồng Minh Dũng,9.6,4.6,8.8,,,9.8,,,
Hải Phòng,00000290,Huỳnh Hồng Diễm,3.6,4.8,8.4,,,,,,
Sóc Trăng,00000291,Văn Thiên Thanh,2.4,4.8,3.2,,,,,,
Thanh Hóa,00000292,Dư Hoàng Ngọc,7.2,5.8,7.8,,,,,8.6,
Tiền Giang,00000293,Đỗ Văn Toàn,5.8,9.2,8.8,3.0,,,,,
Lai Châu,00000294,Tất Ngọc Nam,2.8,2.2,3.4,,,,,,
Ninh Thuận,00000295,Cù Lan Hương,3.6,4.0,8.8,,,,,0.4,
Hà Giang,00000296,Lư Bảo Khôi,7.4,9.2,7.0,,,,,,
Đà Nẵng,00000297,Tôn Nữ Mỹ Châu,5.4,9.4,2.0,,,,,,
Quảng Ngãi,00000298,Đậu Tiến Đức,7.8,6.0,7.6,,,,,,
Hà Giang,00000299,Lư Minh Lộc,3.8,8.0,5.8,,,,,,
Bình Phước,00000300,Trần Hạo Nam,6.2,3.2,8.8,,,,,,3.2
Thừa Thiên Huế,00000301,Liêu Quỳnh Trang,8.2,6.6,4.8,,,,1.2,7.6,
An Giang,00000302,Đồng Quang Thuận,7.0,2.8,6.6,,,,,,
Bạc Liêu,00000303,Vòng Tuyết Ngọc,9.2,4.6,7.4,,,,,,
Thanh Hóa,00000304,Bùi Xuân Thịnh,5.4,3.0,4.4,,,,3.8,,
Hà Tĩnh,00000305,Lưu Kim Tuyền,7.6,9.6,8.0,,,,,,
Long An,00000306,Tất Hải Vy,4.4,7.0,7.4,,,,,,
Hà Giang,00000307,Thạch Kim Thơ,7.4,5.8,6.8,,,,,,
Gia Lai,00000308,Vi Phụng Nhi,4.4,2.2,8.4,,,,,,
Nam Định,00000309,Cù Ngọc Tú,9.0,8.8,5.0,,,,,,
Kiên Giang,00000310,Tống Hoài Phong,6.0,7.6,2.8,4.6,,,8.6,,
Hà Giang,00000311,Đàm Kim Oanh,4.4,9.6,4.0,,,,2.2,,
Phú Yên,00000312,Trịnh Minh Khôi,3.8,7.4,6.0,,,,,6.0,
Quảng Ngãi,00000313,Trình Mỹ Trân,3.4,6.8,4.4,,,,,,
Cần Thơ,00000314,Ninh Công Huy,6.2,8.4,5.6,,,,,,
Hà Giang,00000315,Đỗ Thành Nghĩa,4.8,7.8,7.6,,5.8,,,,
Thành phố Hồ Chí Minh,00000316,Ôn Trung Nghĩa,2.4,5.6,7.2,,,,,,
Vĩnh Phúc,00000317,Lương Nhật An,7.0,9.4,7.2,,,,,,
Quảng Trị,00000318,Đinh Văn Cường,4.8,9.0,5.6,,,,,,
Đà Nẵng,00000319,Thiều Minh Thi,4.4,8.4,6.4,,,,,,
